Experiment Name,Framework,Method,Base Model,Dataset,Mean (%),Result 1 (%),Result 2 (%),Result 3 (%),Result 4 (%),Result 5 (%),Status,Notes,实验日期
verl11,verl,EGPO,Qwen3-4B-Thinking-2507,hardgen_1k_shuffle,62.1,63,62,61.5,62.5,61.5,已完成,4B-Thinking + reward_fn_egpo（修正后）；62.1% 与 verl10（GRPO 60.5%）同数据，EGPO 略高；与 verl10/12 同数据,2026-03-02
verl12,verl,GRPO,Qwen3-4B-Instruct-2507,hardgen_1k_shuffle,28.9,29,28.5,28.5,29.5,29,已完成,4B-Instruct + reward_fn_grpo；与 verl10/11 同数据，对比 Instruct vs Thinking 基座；29.1% 接近 baseline_4binstruct,2026-03-03
verl13,verl,GRPO,Qwen3-4B-Instruct-2507,hardgen_1k_shuffle,24.8,25.5,24.5,25,24.5,24.5,已完成,4B-Instruct + reward_fn（对比奖励函数）；24.8% 与 verl12（reward_fn_grpo 29.1%）同数据，reward_fn 略低,2026-03-04
verl15,verl,EGPO,Qwen3-4B-Thinking-2507,hardgen_1k,63.5,63,64,64.5,62.5,63.5,已完成,4B-Thinking + EGPO + reward_fn_egpo（hardgen_1k 重跑）；63.5% 高于 verl7（GRPO 61.7%），EGPO 有效,2026-03-04
verl17,verl,EGPO,Qwen3-4B-Thinking-2507,hardgen 14k,54.9,57,55,52.5,57.5,52.5,已完成,4B-Thinking + EGPO + reward_fn_egpo（hardgen 全量）；54.9% 低于 hardgen_1k 的 verl15（63.5%），全量数据需进一步调参,2026-03-04
baseline_4b_2,-,-,Qwen3-4B,-,43.2,43.5,41,44.5,41,46,已完成,4B 基座再次评测（复现确认）；与 baseline_4b(42.7%) 接近,2026-03-03
baseline_4binstruct_2,-,-,Qwen3-4B-Instruct-2507,-,26.1,27,26,26,25.5,26,已完成,4B-Instruct 再次评测；与 baseline_4binstruct(27.1%) 接近,2026-03-03
baseline_4bthinking_2,-,-,Qwen3-4B-Thinking-2507,-,58.1,56,63.5,55.5,56,59.5,已完成,4B-Thinking 再次评测；与 baseline_4bthinking(60%) 接近,2026-03-03
full10,ms-swift,SFT & all response -> loss,Qwen3-4B-Instruct-2507,hardgen_1k_shuffle,45.6,45.5,46.5,44.5,46.5,45,已完成,4B-Instruct SFT；45.6% 明显高于同基座 baseline_4binstruct（约 27%）；与 verl10/11/12 同数据,2026-03-02
full11,ms-swift,SFT & all response -> loss,Qwen3-4B-Thinking-2507,hardgen_1k_shuffle,36.2,36.5,35.5,36,37,36,已完成,4B-Thinking SFT；36.2% 明显低于同基座 baseline_4bthinking（约 60%），SFT 在该数据上拉低 Thinking 零样本表现；同数据下 verl10（GRPO）60.5% 保持基座水平,2026-03-02
